Index | Slide | Material Name               | Audio Name
----------------------------------------------------------------------------
0     | 0     | default                     | None
1     | 55    | rockwall2                   | None
2     | 55    | canyon5                     | None
3     | 0     | pillowwhite                 | pillowhandtap
4     | 0     | pillowblue                  | pillowhandtap
5     | 0     | pillowyellow                | pillowhandtap
6     | 0     | pillowpink                  | pillowhandtap
7     | 0     | pitground                   | grassrockhandtap
8     | 0     | bark                        | barkhandtap
9     | 0     | loglowres                   | woodhandtap
10    | 0     | table                       | woodhandtap
11    | 0     | darkbrownpanel              | woodhandtap
12    | 0     | logsupport                  | woodhandtap
13    | 0     | woodensupport               | woodhandtap
14    | 0     | minewall                    | dirthandtap
15    | 0     | picnictable                 | woodhandtap
16    | 0     | crate                       | woodhandtap
17    | 0     | carttexture                 | woodhandtap
18    | 0     | metalbare                   | metalhandtap
19    | 0     | metalpattern                | metalhandtap
20    | 0     | crystallrpink               | crystalhandtap
21    | 0     | crystallrpurple             | crystalhandtap
22    | 0     | crystallrteal               | crystalhandtap
23    | 0     | crystallryellow             | crystalhandtap
24    | 0     | bronze                      | metalhandtap
25    | 0     | redpanel                    | woodhandtap
26    | 0     | rusty                       | metalhandtap
27    | 0     | cactus                      | dirthandtap
28    | 0     | Light                       | crystalhandtap
29    | 0     | window                      | crystalhandtap
30    | 0     | MirrorCenter                | crystalhandtap
31    | 0     | pitgroundfall               | leafcrunch
32    | 0     | pitgroundwinter             | snowstep
33    | 0     | holidaywhite                | crystalhandtap
34    | 0     | holidaywhiteoff             | crystalhandtap
35    | 0     | holidayred                  | crystalhandtap
36    | 0     | holidaygreen                | crystalhandtap
37    | 0     | holidayyellow               | crystalhandtap
38    | 0     | holidayblue                 | crystalhandtap
39    | 0     | christmastree               | dirthandtap
40    | 0     | first2down                  | crystalhandtap_root_2octdown
41    | 0     | second2down                 | crystalhandtap_second_2octdown
42    | 0     | third2down                  | crystalhandtap_third_2octdown
43    | 0     | fifth2down                  | crystalhandtap_fifth_2octdown
